title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Meet the sight words 1",5,25,14,11,372.462,24
"Meet the sight words 2",5,25,14,23,372.462,24
"Taking tests in different subjects",5,25,14,23,371.26,40
"Kids who rip com Vol 2",5,25,14,24,796.046,41
Dinosaurs,5,25,14,25,567.9,27
"Meet the sight words 3",5,25,14,26,372.462,24
Division,5,25,14,27,513.214,40
"Its potty time",5,25,15,8,649.62,36
"Sid the science kid Gizmos and gadgets",5,25,15,17,621.8,42
"Im a potty pirate potty training for boys",5,25,15,22,649.62,36
"I spy A runaway robot and other stories",5,25,15,23,793.735,36
Bali,5,25,15,42,915.986,46
"French Disc 6 I can count",5,25,16,23,448.3421,39
"Italian Disc 3 Playtime",5,25,16,28,458.3421,39
"French 1 Eating and drinking",5,25,16,28,448.3421,39
"Spanish Disc 4 In my home",5,25,16,57,468.3421,25
"National park animals for kids",5,25,17,14,590.0973,26
"Spanish Disc 6 I can count",5,26,14,53,468.3421,37
"Kids love Spanish Volume 2 Alphabet numbers",5,26,14,53,468.3421,37
"Spanish Disc 5 Happy sad and silly",5,26,14,53,468.3421,37
"Kids love Spanish Volume 1 Basic words",5,26,14,55,468.3421,37
"Polar prowl",5,26,15,33,591.70911,27
"Sing hoot howl with the Sesame Street animals",5,26,15,40,782.42083,31
"Backyard soccer drills",5,26,15,46,796.3342,53
"Washington DC for kids",5,26,16,16,917.53,28
"Signing time Volume 7 Leahs farm",5,26,16,22,419.7,27
"George Washington",5,28,10,27,973.41092,37
"Baby ballet",5,28,14,45,792.8,28
"Meet the sight words 3",5,28,14,45,372.462,28
"Im a ballerina now",5,28,14,47,792.8,28
"Rock n learn Letter sounds",5,28,14,47,372.465,28
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",5,2,11,36,438.3421,0
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",5,2,11,36,438.3421,0
"French Disc 6 I can count",5,2,15,36,448.3421,1
"Activity TV Cooking snacks",5,3,15,49,641.5123,0
"Baby songs Rock roll",5,3,16,0,782.42083,1
Amphibian,5,4,12,16,597.8,2
"Leonardo da Vinci",5,4,13,38,709.2,1
Michelangelo,5,4,13,39,759.5,1
"Advanced math concepts",5,4,13,44,513,2
"Hot potatoes the best of the Wiggles",5,5,15,16,782.42083,0
"Jim Knoxs Wild Zoofari National Aquarium in Baltimore",5,6,13,15,597,2
"Jim Knoxs Wild Zoofari Oregon",5,6,13,16,590.73795,2
"Farmyard friends",5,6,13,42,590,2
Matter,5,6,14,44,530,5
"Activity TV Cooking snacks",5,6,16,13,641.5123,0
"Sid the science kid Sid in motion",5,6,16,33,500,1
"Meerkat manor Season one",5,6,18,33,599.742,5
"Activity TV Jewelry",5,6,18,56,745.5942,3
"Fizzys lunch lab Fresh foods 101",5,6,19,3,613.2,1
"Sid the science kid Sids backyard campout",5,6,19,3,796.54,1
"Wiggles You make me feel like dancing",5,7,10,26,201,4
Atmosphere,5,7,15,52,551.5,6
"Wiggles The Wiggles go bananas",5,7,16,24,782.42083,5
"All about John Deere Big forestry and construction machines only",5,7,16,34,629.225,1
"Giving thanks and more stories to celebrate American heritage",5,7,17,15,973,1
"Wild about safety Safety smart about fire",5,7,17,23,363.377,3
"Wild about safety Safety smart goes green",5,7,17,23,363.7,3
"Train crazy kids",5,8,11,27,625.2,6
"Rocks and minerals",5,8,11,39,552,5
"Revolutionary War heroes",5,8,13,28,973.2,2
"magic school bus Human body",5,8,15,4,612,1
"world of learning Volume 2",5,8,15,5,629.13334,1
"All about the senses",5,8,15,7,612.8,7
"world of learning Volume 2",5,8,15,54,629.13334,2
"German for babies toddlers and preschoolers Disc 6 I can count",5,8,16,21,438.3421,1
"Activity TV Cooking snacks",5,8,16,29,641.5123,0
"Baby signing time Volume 1",5,8,19,13,419,5
"All your childs favorites",5,8,19,19,649.68,7
"School house rock Money rock",5,9,11,0,332.024,7
"Meet the phonics Letter sounds",5,9,11,13,372.465,7
"Shalom Sesame Volume 9 Countdown to Shavuot",5,9,11,45,394.267,7
"myth of Persephone",5,9,13,11,398.20938,7
"Animal atlas Animal passport",5,9,13,21,590.96,3
"This fragile planet preserving nature and balancing the environment",5,9,15,33,304.2083,2
"Teaching signs for baby minds 2 Concepts combinations",5,9,15,34,419.7,7
"BabyFirst tales classic stories retold for babies Vol 1",5,9,15,34,398.2,2
"Teaching signs for baby minds 1 Everyday signs",5,9,15,34,419.7,7
"Sid the science kid Sid in motion",5,9,15,34,500,2
"Alphabet and letter sounds",5,9,16,37,372.465,5
"Rock n learn Letter sounds",5,9,16,37,372.465,5
"Rock n Learn Alphabet",5,9,16,38,372.41,5
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",5,9,17,4,491.78346,5
"Mighty machines Ships ahoy Super machines Ohâ du bateau",5,9,17,44,623.82,4
"Im a potty pirate potty training for boys",5,9,17,45,649.62,4
"John Henry",5,9,17,49,398.22,4
"Wiggles Ukulele baby",5,9,17,49,791.42083,3
"Rocks soil",5,9,17,53,552,5
"Sid the science kid Sids sense ational adventures",5,9,17,57,500,4
"best of Mighty machines flying racing rolling",5,9,18,26,629.225,6
"Lots lots of jets and planes Vol 1 Thunder in the skies",5,9,18,26,629.13334,6
"Snowplows on patrol",5,9,18,33,625.763,6
"Fire engines trucks airplanes fast trains",5,9,18,33,628.9259,6
"last days of the Civil War",5,9,19,5,973.738,3
"Im a potty pirate potty training for boys",5,10,11,3,649.62,8
"Lots lots of trucks Vol 2 Mighty tough trucks",5,10,12,17,629.224,8
"Mighty machines Ships ahoy Super machines Ohâ du bateau",5,10,12,17,623.82,8
"Families of Kenya",5,10,15,24,967.62,5
"Families of Sweden",5,10,15,24,948.5,5
"Arctic Antarctic",5,10,15,24,508.98,5
"Rock n learn Multiplication rap",5,10,16,22,513.213,2
"Zin zin zin a violin",5,10,17,4,780,5
"Abraham Lincoln sixteenth president",5,10,17,4,973.7092,5
"Math cure",5,10,17,6,510,5
"Kidz bop Dance moves",5,10,17,6,793.3,5
"Sid the science kid Change happens",5,10,17,6,507,5
Migration,5,10,17,13,591.568,6
"Meet the sight words 2",5,10,17,30,372.462,2
"Meet the sight words 3",5,11,12,43,372.462,7
"Meet the colors",5,11,12,47,535.6,7
"Meet the shapes",5,11,12,47,516.15,7
"Daisy and her garden",5,11,12,55,791.4572,8
"Early start Mandarin Chinese Volume 3 A wonderful day",5,11,13,2,495.18342,2
"Zoboomafoo Wild creatures furry fashion",5,11,14,18,590,5
"Activity TV Cooking snacks",5,11,15,28,641.5123,0
"mystery of shooting stars",5,11,16,58,523.51,4
"Hula for children learn basic hula steps 3 hula songs",5,11,17,22,793.31996,1
"Be a hula girl",5,11,17,22,793.31,1
"Critter quest bug out on a backyard safari",5,11,17,56,595.7,6
"Aunt Tiger",5,12,10,47,398.20951,4
"little primaballerina ballet training for children",5,12,12,33,792.8,8
"Mighty machines Big wheels rollin",5,12,13,14,629.225,2
"Mighty machines Mega machines",5,12,13,14,629.225,2
"Schoolhouse rock Multiplication rock",5,12,13,31,513.213,5
"Edgar Degas",5,12,13,57,759.4,7
"Brainy baby Art exploring the world of art",5,12,14,11,700.83,8
"Mighty machines Machines on the job",5,12,14,11,621.8,8
"Fun on the farm 2",5,12,14,14,630,8
"Mighty machines Roadways to runways",5,12,14,16,629.133,8
"Peep and the big wide world Peep finds",5,12,15,16,372.35,10
"tree with the golden apples",5,12,16,18,398.20949,5
"Sheng jing gu shi dong hua ji III chuang shi ji yu Nuoya fang zhou The Bible in animation creation and the flood",5,12,16,30,220.95,8
"Families of China",5,12,16,36,951,7
"Swinging safari",5,12,16,40,591.96,6
"Deep sea dive",5,12,16,40,551.46,6
"magic school bus Space adventures",5,13,12,12,523,10
"ballerina me",5,13,13,47,792.8,3
"magic school bus Creepy crawly fun",5,13,13,48,534,6
"Cinco de Mayo",5,13,14,5,394.262,5
"Meet the phonics Letter sounds",5,13,14,7,372.465,11
"Families of Panama",5,13,15,15,972.87,12
"Bugs bugs bugs",5,13,15,17,595.7,11
"science of Disney imagineering Animal adaptations communication",5,13,15,21,591.59,5
Erosion,5,13,15,22,551.3,9
"science of Disney imagineering Fluids",5,13,15,22,532,9
"science of Disney imagineering Levers and pulleys",5,13,15,22,621.8,5
"Sid the science kid The ruler of thumb",5,13,15,36,530.8,10
"Sid the science kid Weather kid Sid",5,13,15,41,551.5,5
"science of Disney imagineering Designs and models",5,13,15,46,620.004,5
"Baby signing time Volume 1",5,13,16,7,419,7
"Signing time Volume 1 My first signs",5,13,16,8,419.7,7
"Activity TV Jewelry",5,13,16,25,745.5942,1
"Communities around the world around the corner",5,13,16,31,307,4
"Signing time Volume 2 Playtime signs",5,13,16,31,419.7,4
"My fantastic field trip to the planets",5,13,16,31,523.4,4
"Lots lots of jets and planes Vol 1 Thunder in the skies",5,13,16,51,629.13334,9
"French for kids Beginner level 1 volume 2",5,13,17,21,448.2421,6
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",5,13,17,21,448.2421,6
"Germs your health",5,13,17,58,616.9041,8
"Activity TV Cooking lunches desserts",5,13,18,23,641.5123,2
"Activity TV Cooking snacks",5,13,18,23,641.5123,2
Horse,5,14,10,6,636.1,12
"Rockin dance party",5,14,10,6,649.68,12
"Animal atlas Family time",5,14,10,40,590,12
"Families of Korea",5,14,10,43,951.9043,10
"Lots lots of big trains Vol 1 Giant railroad action",5,14,12,30,625.2,12
"Lots lots of fire songs safety tips",5,14,12,30,363.377,8
"Wiggles The Wiggles go bananas",5,14,12,32,782.42083,10
"Lots lots of trucks Vol 2 Mighty tough trucks",5,14,13,8,629.224,12
Electricity,5,14,13,8,537,5
"Fun with dance",5,14,13,15,796.13,9
"How did that get in my lunchbox the story of food",5,14,13,15,641.3,9
"Rockin dance party",5,14,13,15,649.68,9
"Baby boost Nursery rhymes",5,14,13,17,782.42083,3
"Baby boost Sing a long",5,14,13,19,782.42083,3
"science of Disney imagineering Fluids",5,14,13,23,532,10
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",5,14,13,37,438.3421,10
Fractions,5,14,13,41,513.26,7
"way things work Light",5,14,13,44,535,7
"Wiggles The Wiggles go bananas",5,14,14,48,782.42083,3
"animated Passion for the whole family",5,14,14,50,232.96,12
"Easter story",5,14,14,53,232.96,12
"Japanese Disc 2 Wake up smiling",5,14,16,35,495.68342,10
"Im a potty princess potty training for girls",5,14,16,40,649.62,13
"Wiggles Celebration",5,14,16,45,782.42083,1
"Families of Russia",5,14,16,53,947.086,12
"Russian for babies toddlers and preschoolers Disc 2 Wake up smiling",5,14,16,54,491.78346,2
"Sid the science kid Weather kid Sid",5,14,16,54,551.5,10
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",5,14,16,54,491.78346,2
"Russian for babies toddlers and preschoolers Disc 3 Playtime",5,14,16,54,491.78346,2
"Sid the science kid Sids sense ational adventures",5,14,16,54,500,10
Mexico,5,14,16,55,305.86872,4
"Rock mineral",5,14,18,2,552.06,12
"Meet the sight words 2",5,14,18,14,372.462,9
"Meet the sight words 3",5,14,18,14,372.462,9
Biodiversity,5,14,19,2,574.5,9
"All about blood the heart",5,14,19,3,612.1,7
"Rock n learn Earth science",5,14,19,12,550,9
"Eyewitness Planets",5,14,19,14,523.4,7
"Spanish Disc 4 In my home",5,14,19,17,468.3421,13
"Spanish 2 Wake up smiling",5,14,19,17,468.3421,13
Horse,5,14,19,18,636.1,11
Bird,5,14,19,38,598,8
Amphibian,5,14,19,39,597.8,8
Fish,5,14,19,39,597,8
"Space earth atmosphere",5,14,19,39,523,8
"Everybody dance",5,15,10,37,793.3083,13
"Kidz bop Dance moves",5,15,10,37,793.3,13
"Shakespeare the animated tales Volume 3",5,15,11,14,822.33,10
"Fizzys lunch lab Fresh foods 101",5,15,11,31,613.2,12
"Mister Rogers neighborhood What do you do with the mad that you feel",5,15,11,35,152.47,12
"Signing time Series 2 volume 13 Who has the frog",5,15,12,31,419.7,13
"Vamos a jugar Lets play",5,15,12,45,468.3421,12
"Spanish Disc 4 In my home",5,15,12,45,468.3421,12
"Amazing North America",5,15,12,45,591.97,12
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",5,15,12,45,468.24,12
"Sid the science kid Weather kid Sid",5,15,13,2,551.5,12
"Lots lots of trucks Vol 1 Hard workin trucks",5,15,13,2,629.224,12
"Dinosaur bones",5,15,13,6,567.9,10
"way things work Wheels axles",5,15,13,58,621.82,5
"Ecosystems and biomes",5,15,13,59,577.82,5
Germany,5,15,15,14,914.304,7
"Lyric language German",5,15,15,19,438.3421,7
"world of learning Volume 2",5,15,16,2,629.13334,0
"Mighty machines Big wheels rollin",5,15,16,2,629.225,0
"Activity TV Hanukkah Vol 1",5,15,16,2,296.435,9
"Mighty machines Mega machines",5,15,16,2,629.225,0
"Lets draw peoples bodies",5,15,16,3,743.4,9
"Lets frame our pictures",5,15,16,3,749.7,9
"Signing time Volume 4 Family feelings and fun",5,15,16,3,419.7,9
"Collage art for kids Volume 1 Paper collage",5,15,16,3,702.812,9
"Lets learn how to use pastels and charcoal",5,15,16,3,741.235,9
"Signing time Volume 12 Time to eat",5,15,16,3,419.7,9
YogaKids,5,15,16,4,613.7042,9
"estaciones The seasons",5,15,16,5,468.3421,9
"Collage art for kids Volume 4 Greeting cards",5,15,16,11,702.812,9
"Learn hip hop step by step",5,15,16,13,782.42164,9
Bird,5,15,16,31,598,14
Fish,5,15,16,32,597,14
"Lots lots of trucks Vol 1 Hard workin trucks",5,15,16,50,629.224,13
"magic school bus Space adventures",5,15,17,2,523,5
"Merlin and the dragons a story from Wales",5,15,17,26,398.20942,12
"Jazz class for kids",5,15,18,52,793.3,14
"Dance dance dance",5,15,18,53,792.8,14
"Jazz dances for kids teens",5,15,19,8,793.3,14
"Mandarin Chinese 2 Wake up smiling",5,16,10,4,495.13421,12
"Early start Mandarin Chinese Volume 1 Colors and animals",5,16,10,4,495.18342,12
"Chinese for kids Beginner level 1 volume 1",5,16,10,4,495.18342,12
"Elmos potty time",5,16,10,14,649.62083,14
"First fun with Spanish",5,16,11,35,468.3421,6
"Schoolhouse rock",5,16,11,36,372,13
"Watch learn Spanish with Professor Toto Part I Eric goes to school",5,16,12,45,468.3421,9
"Storyland yoga",5,16,13,55,613.7046,8
Seashore,5,16,14,2,578.7699,8
"Taking care of my pet",5,16,14,2,636.0887,8
"East of the sun west of the moon",5,16,14,10,398.2,15
"Kidz bop Dance moves",5,16,14,18,793.3,14
"School house rock Earth",5,16,14,27,333.72,1
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",5,16,14,37,492.7071,3
"Kick to get fit Jr for kids",5,16,15,27,613.71,5
"Harriet Tubman",5,16,16,17,973.7115,12
"ballad of Mulan",5,16,16,19,398.22095,12
"Washington DC for kids",5,16,16,20,917.53,12
"Dance learn Chinese with Mei Mei",5,16,16,23,495.18342,6
"Early start Mandarin Chinese Volume 4 My healthy body",5,16,16,23,495.18342,6
"Play learn Chinese with Mei Mei 2",5,16,16,23,495.1824,6
"Play learn Chinese with Mei Mei 3",5,16,16,23,495.1824,6
"Lets go to school with Mei Mei",5,16,16,23,495.1824,6
Nutcracker,5,16,16,27,792.842,13
"Wiggles Celebration",5,16,16,32,782.42083,13
"Meet the letters",5,16,16,34,428.13,2
"Teaching signs for baby minds 1 Everyday signs",5,16,16,58,419.7,13
Nutcracker,5,16,17,13,792.842,14
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",5,16,17,13,468.24,14
"Eyewitness Planets",5,16,17,46,523.4,1
"Mickeys Around the world in 80 days",5,16,17,57,372.8,8
"Im a potty princess potty training for girls",5,16,18,53,649.62,6
Geometry,5,16,18,54,516,1
"YogaKids 2 ABCs",5,16,19,20,613.7046,3
"Peep and the big wide world Peeps new friends",5,16,19,21,372.35,3
"Sid the science kid Going going green",5,16,19,21,791.4575,3
"My gym at home fun with Monique",5,17,12,52,613.7042,3
"Arctic tale",5,17,12,55,599.786,13
"Wonders down under",5,17,13,48,591.994,4
"Awesome animal builders",5,17,13,55,591.564,4
"magic school bus Human body",5,17,14,1,612,7
"I spy A thing that flings and other stories",5,17,15,50,793.735,13
"Sid the science kid Sids sing along",5,17,15,53,782.42083,4
"Sid the science kid Sid in motion",5,17,15,53,500,4
"Classical baby The art show",5,17,16,15,700.103,1
"Puppy plays the classics",5,17,16,15,781.68,1
"Classical baby The music show",5,17,16,16,780.83,1
"All about rocks minerals",5,17,16,21,552,7
"Meet the shapes",5,17,16,28,516.15,11
"Taste my world",5,17,16,28,612.87,11
"Touch my world",5,17,16,28,612.88,11
Atmosphere,5,17,16,51,551.5,9
"Marine mammals",5,17,16,51,591.77,9
"Mister Maker Lets make it",5,17,17,7,745.5,4
"Teaching signs for baby minds 3 Dictionary alphabet",5,17,17,7,419.7,4
"Baby signing time Volume 2",5,17,17,8,419,14
"Wild about safety Safety smart at home",5,17,17,9,363.13,2
"Activity TV Cooking snacks",5,17,17,24,641.5123,0
"Barack Obama the story of our 44th president",5,18,10,59,973.93209,0
"Sid the science kid Sids sing along",5,18,11,13,782.42083,11
"Sea to shining sea stories of America",5,18,12,8,304.873,7
"Grandes hâroes y leyendas de la Biblia Los apÂ¢stoles",5,18,12,19,232.95,0
"Grandes hâroes y leyendas de la Biblia La ultima cena la crucificaciÂ¢n y la resurrecciÂ¢n",5,18,12,19,232.97,0
"Vamos a jugar Lets play",5,18,12,19,468.3421,0
"Historias de la Biblia",5,18,12,19,221.9505,0
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",5,18,12,19,468.24,0
"Lyric language Spanish",5,18,12,19,468.3421,0
"Arctic tale",5,18,12,23,599.786,4
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",5,18,12,24,438.3421,10
"Yay Planes",5,18,12,27,629.1333,11
"Preschool fun Planets dinosaurs",5,18,12,29,523.4,7
"Eyewitness Planets",5,18,13,6,523.4,5
"Activity TV Halloween Vol 3",5,18,13,20,745.59416,6
"Activity TV Christmas Vol 2",5,18,13,21,745.59412,6
"Animal atlas Animal passport",5,18,13,27,590.96,10
"Wonders down under",5,18,13,28,591.994,10
"Skill building buddies Handling transitions and change",5,18,13,29,618.92858,16
"Mighty machines Mega machines",5,18,13,38,629.225,13
"Once upon a potty for him",5,18,14,5,649.62,10
"Go potty go potty training for tiny toddlers",5,18,14,10,649.62,10
"potty movie for boys starring Henry",5,18,14,10,649.62,10
"I can go potty potty training for boys and girls",5,18,14,10,649.62083,9
"Sleeping beauty",5,18,14,36,792.842,13
"Wiggles Here comes the big red car",5,18,14,37,782.42083,0
"Wiggles You make me feel like dancing",5,18,14,38,201,0
"Wiggles Ukulele baby",5,18,14,38,791.42083,0
"Rock n learn Alphabet",5,18,14,48,372.41,14
"Wiggles Big big show",5,18,14,49,782.42083,14
"Wiggles Celebration",5,18,14,49,782.42083,14
"Mighty machines Mega machines",5,18,14,49,629.225,14
Dog,5,18,15,18,599.77,5
"Creepy creatures",5,18,15,18,590,13
"Lots lots of big trains Vol 1 Giant railroad action",5,18,15,52,625.2,14
"Wiggles Getting strong",5,18,15,59,782.42083,14
"Wiggles Hot poppin popcorn",5,18,16,0,782.42083,14
"Sid the science kid Sids sense ational adventures",5,18,16,2,500,6
"Sid the science kid Sid in motion",5,18,16,3,500,6
"NÂ£meros y figuras Numbers shapes",5,18,16,33,782.42083,6
"Aunt Tiger",5,18,16,47,398.20951,10
"flower of fern",5,18,16,47,398.20943,10
"magic gourd",5,18,16,48,398.20951,10
"shepherdess and the chimney sweep",5,18,16,49,398.20948,10
"Fun damentals dance laugh learn about ABCs numbers colors shapes",5,18,17,5,372.465,14
"Play learn Chinese with Mei Mei 1",5,18,17,17,495.1824,15
Horse,5,18,17,29,636.1,4
"magic school bus Bugs bugs bugs",5,18,17,40,595.7,13
"Mandarin Chinese 2 Wake up smiling",5,18,17,52,495.13421,12
"All about airplanes and flying machines",5,19,13,8,629.133,8
"Popular mechanics for kids Lightning and other forces of nature",5,19,13,8,551.5632,8
"Sid the science kid Sids backyard campout",5,19,13,19,796.54,1
"Between the lions Shooting stars",5,19,13,56,372.465,14
"Between the lions Fuzzy Wuzzy Wuzzy",5,19,13,59,372.465,1
"Between the lions Farmer Kens puzzle",5,19,14,0,372.465,7
"Sid the science kid Going going green",5,19,14,9,791.4575,0
"animated Passion for the whole family",5,19,14,11,232.96,0
"Signing time Volume 2 Playtime signs",5,19,14,30,419.7,14
"Signing time Volume 4 Family feelings and fun",5,19,14,31,419.7,14
"Edgar Degas",5,19,14,44,759.4,3
"American Sign Language for kids and adults Volume 2 Visiting the zoo",5,19,14,44,419.7,11
"King March",5,19,14,52,398.20942,11
"raspberry worm",5,19,14,52,398.20948,3
Redhill,5,19,14,53,398.20959,11
"enchanted lion",5,19,14,56,398.20943,11
"iKnow animals letters sounds Vol 1",5,19,15,5,372.465,11
"world of learning Volume 1",5,19,15,7,629.2222,13
"I love toy trains The final show",5,19,15,10,625.19,10
"English ESL 3 Playtime",5,19,15,13,428.3461,14
"English ESL 1 Eating and drinking",5,19,15,13,428.3461,14
"English ESL 5 Happy sad and silly",5,19,15,19,428.3461,14
"English ESL 4 In my home",5,19,15,19,428.3461,14
"Schoolhouse rock Science",5,19,15,42,500,4
"Dino world",5,19,15,46,567.9,4
"Schoolhouse rock America",5,19,15,47,973,4
Seashore,5,19,15,49,578.7699,4
"Shalom Sesame Disc 1 Rehov Sumsum Disc 1",5,19,15,54,956.94,12
Nutcracker,5,19,16,0,792.842,6
"Families of China",5,19,16,14,951,5
"Signing time Volume 9 The zoo train",5,19,16,14,419.7,5
"Read along stories on DVD",5,19,16,15,372.4,12
"Wiggles The Wiggles go bananas",5,19,16,16,782.42083,17
"Wiggles Its always Christmas with you",5,19,16,16,782.42083,17
"Wiggles Lets eat",5,19,16,16,782.42083,17
"Im a potty princess potty training for girls",5,19,16,16,649.62,17
"Schoolhouse rock Science",5,19,16,25,500,14
"Lots lots of trucks Vol 1 Hard workin trucks",5,19,16,29,629.224,14
"More families of Mexico",5,19,16,30,972.0836,10
"Rip roaring roller coasters and all access to fun",5,19,16,33,791.068,14
"Learn Spanish with Carlos Chiquitita Level 1 volume 1",5,19,16,43,468.2421,16
"Sleeping beauty",5,20,10,10,792.842,14
Ummemo,5,20,10,10,398.20968,14
"English ESL 4 In my home",5,20,10,10,428.3461,14
"Early start Mandarin Chinese Volume 6 Happy birthday",5,20,10,10,495.18342,14
"Get fit kids vol 1 Hustle bustle move your muscles",5,20,10,10,613.7042,14
"Wiggles Lets eat",5,20,10,26,782.42083,4
"Animal atlas Superhero animals",5,20,10,27,590,4
"Baby signing time Volume 3 A new day",5,20,10,44,419,12
"magic school bus Creepy crawly fun",5,20,10,44,534,12
"Edgar Degas",5,20,10,44,759.4,12
"magic school bus catches a wave",5,20,11,48,553.7,6
"magic school bus Human body",5,20,11,48,612,6
"Signing time Volume 3 Everyday signs",5,20,12,6,419.7,13
"YogaKids 2 more poses more fun",5,20,12,22,613.7046,10
"Sid the science kid Sids backyard campout",5,20,13,40,796.54,7
"culture of Mexico",5,20,13,42,972,7
"Sid the science kid Sids sing along",5,20,13,43,782.42083,11
"Baby animals",5,20,13,50,599.5,11
"Schoolhouse rock Multiplication rock",5,20,13,51,513.213,12
"Preschool fun Letters numbers",5,20,14,7,201,11
"Ready for beginning math",5,20,14,30,372.7049,11
Fire,5,20,14,32,353.979,11
"Math cure",5,20,14,34,510,11
"Germs your health",5,20,14,34,616.9041,11
"Lots lots of jets and planes Vol 2 Adventures in the air",5,20,14,54,629.13334,0
Geography,5,20,15,7,910,4
"This fragile planet preserving nature and balancing the environment",5,20,15,9,304.2083,4
"Teletubbies Go exercise with the Teletubbies",5,20,15,13,613.7042,4
"best of Mighty machines flying racing rolling",5,20,15,14,629.225,9
"Rock n learn Multiplication rap",5,20,15,14,513.213,9
"Prehistoric life",5,20,15,15,576.8,9
"Rock n learn Physical science",5,20,15,27,500.2,18
"How things work",5,20,15,28,621.8,18
"1st 7th grade math tutor 7 hour video course",5,20,15,29,513.2,18
"All about motion balance",5,20,15,29,531.11,4
"Rock n learn Multiplication rap",5,20,15,29,513.213,18
"Rock n learn Earth science",5,20,15,29,550,18
"Eyewitness Weather",5,20,15,30,551.55,18
Electricity,5,20,15,42,537,17
India,5,20,16,8,305.8914,11
"miracles of Jesus",5,20,16,9,232.955,11
"Tibet for kids",5,20,16,26,951.5,12
"Activity TV Magic Vol 2",5,20,16,43,793.8,13
"English ESL 2 Wake up smiling",5,20,16,43,428.3461,13
"English ESL 1 Eating and drinking",5,20,16,43,428.3461,13
"French Disc 5 Happy sad and silly",5,20,16,43,448.3421,13
"I spy A mumble monster mystery other stories",5,20,16,44,793.735,13
"Lets talk geography maps and globes",5,20,16,44,912,7
"Japanese Disc 3 Playtime",5,20,16,44,495.68342,9
"Chinese for kids Beginner level 1 volume 2",5,20,17,13,495.18342,6
"Linnea in Monets garden",5,20,17,16,759.4,11
"Free to be you and me",5,20,17,17,810.8,4
"Arctic tale",5,20,18,11,599.786,19
"Hot potatoes the best of the Wiggles",5,20,18,41,782.42083,2
"Shakespeare the animated tales Volume 3",5,20,19,16,822.33,9
"Mary Cassatt",5,20,19,18,759.13,2
"All your childs favorites",5,20,19,19,649.68,13
"Free to be you and me",5,20,19,19,810.8,2
"boy who had no story",5,20,19,40,398.20941,7
"Sid the science kid Sids sing along",5,20,19,44,782.42083,3
"Sid the science kid Sid in motion",5,20,19,44,500,7
"Wiggles Ukulele baby",5,21,9,47,791.42083,11
"All about simple machines",5,21,10,19,621.8,5
"Im a potty pirate potty training for boys",5,21,10,33,649.62,6
Cat,5,21,10,39,599.75,9
"Rainbows in the sea",5,21,10,39,577.789,4
"Environment ecosystems",5,21,10,39,577.82,4
"Lots lots of jets and planes Vol 3 Jumbo jets in action",5,21,10,48,629.13334,10
"Lots lots of trucks Vol 1 Hard workin trucks",5,21,11,44,629.224,14
"Sesame Street Big Bird in China",5,21,12,29,915.104,1
"Elmos potty time",5,21,12,44,649.62083,12
"School house rock Money rock",5,21,12,51,332.024,12
"Schoolhouse rock Science",5,21,12,51,500,12
"Read along stories on DVD",5,21,12,51,372.4,12
"Kung fu for kids",5,21,12,51,796.8159,12
"magic school bus Space adventures",5,21,12,52,523,12
"ultimate collection",5,21,12,52,629.04,12
Weather,5,21,13,0,551.5,3
"All about big machines",5,21,13,16,629,12
"I love toy trains Parts 1 2 3",5,21,13,19,625.19,7
"I love toy trains Parts 10 11 12",5,21,13,19,625.19,7
"AstroPuppies in space an amazing adventure for young astronauts",5,21,13,45,523.2,13
"Babies toddlers",5,21,13,52,419,13
"Mighty machines Tremendous tools",5,21,13,56,621.8,14
"Drawing power Vol 5 My ultimate room",5,21,13,56,747.77083,13
"Wild animal baby Wow Wetland other stories",5,21,13,56,591.39,1
"Schoolhouse rock America",5,21,13,58,973,15
"emperors egg",5,21,13,59,598.47,1
"Reading for children Identifying letters sounds",5,21,14,9,372.465,0
"world of learning Volume 2",5,21,14,22,629.13334,12
"Baby see n sign Vol 1 Object word association",5,21,14,24,649.122,12
"Mom Dad me aprendemos EspaÂ¤ol",5,21,14,35,468.3421,7
"world of learning Volume 2",5,21,14,36,629.13334,4
Amphibian,5,21,14,36,597.8,7
"Sid the science kid Sids backyard campout",5,21,14,42,796.54,10
"magic school bus catches a wave",5,21,14,48,553.7,13
"Budding ballerinas pre ballet with Mary Carpenter",5,21,14,54,792.8,6
Dinosaurs,5,21,14,55,567.9,13
Fish,5,21,14,55,597,13
"Lakes ponds",5,21,14,55,551.482,13
"Elmos potty time",5,21,16,16,649.62083,3
"Earths seasons",5,21,16,18,508.2,20
"Mighty machines Lights ladders",5,21,16,20,629.224,6
