title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Rock n learn Alphabet circus",1,15,18,39,372.465,12
"Babies toddlers",1,15,19,9,419,9
"Baby sign language basics",1,15,19,9,419,9
"ventures with Wink Blink A day in the life of a firefighter",1,15,19,20,363.37092,7
"Families of Thailand",1,15,19,45,959.3,4
"Wiggles Ukulele baby",1,15,19,48,791.42083,3
"Yay Planes",1,16,10,18,629.1333,13
"Baby signing time Volume 2",1,16,10,18,419,13
"Wiggles Here comes the big red car",1,16,10,18,782.42083,13
"Arctic tale",1,16,10,35,599.786,1
"Kids Ten Commandments the complete collection",1,16,11,8,241.52,2
"Lots lots of trucks Vol 2 Mighty tough trucks",1,16,12,43,629.224,13
"Mighty machines Machines on the job",1,16,12,43,621.8,13
"Road construction ahead 2",1,16,13,42,625.725,13
"way things work Sensors",1,16,14,33,681.2,3
"way things work Ballooning",1,16,14,33,629.13322,5
"way things work Sinking",1,16,14,33,623.8205,3
"Time for manners Vol 2 Table time",1,16,14,54,395.54,14
India,1,16,14,54,305.8914,14
"Families of Korea",1,16,15,14,951.9043,6
"Families of Thailand",1,16,15,14,959.3,4
"My fantastic field trip to the planets",1,16,15,14,523.4,11
"Families of Ghana",1,16,15,16,966.7,4
"Families of Afghanistan",1,16,15,16,958.1,6
"Eyewitness Ocean",1,16,15,22,551.461,5
"world of learning Volume 2",1,16,15,40,629.13334,12
"Sid the science kid Sids sense ational adventures",1,16,16,8,500,4
"Fun with dance",1,16,16,12,796.13,14
"Yoga divas",1,16,16,12,613.7046,14
"Fizzys lunch lab Fresh foods 101",1,16,16,12,613.2,4
"Arabic for babies toddlers and preschoolers Disc 1 Eating and drinking",1,16,16,12,492.7071,14
"Alphabet phonics fun",1,16,16,12,411,14
"Fun in motion dance laugh learn about trucks cars trains planes boats",1,16,16,12,629.22,14
Subtraction,1,16,16,25,513.212,6
"Spanish Disc 5 Happy sad and silly",1,16,16,32,468.3421,14
"German for babies toddlers and preschoolers Disc 3 Playtime",1,16,16,32,438.3421,14
"best of the best of the Electric Company",1,16,17,1,372.414,5
"Sid the science kid Going going green",1,16,17,4,791.4575,0
"Arctic tale",1,16,17,6,599.786,14
"Baby signing time Volume 3 A new day",1,16,17,8,419,10
"Baby boost Nursery rhymes",1,16,17,8,782.42083,14
"Activity TV Cooking snacks",1,16,17,8,641.5123,0
"Signing time Volume 2 Playtime signs",1,16,17,9,419.7,10
"Signing time Volume 1 My first signs",1,16,17,9,419.7,10
"Cognitive beginnings",1,16,17,11,155.413,14
"Baby signing time Volume 4 Lets be friends",1,16,17,13,419,7
"Baby signing time Volume 2",1,16,17,14,419,10
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",1,16,17,16,448.2421,7
"Zoboomafoo Pets",1,16,17,20,590,14
"Zoboomafoo Wild creatures furry fashion",1,16,17,20,590,14
"Dinosaur Georges guide to prehistoric life",1,16,17,20,567.9,14
"Spanish for kids Beginner level 1 volume 2",1,16,17,21,468.3421,14
Dog,1,16,17,27,599.77,14
"Ready for beginning math",1,16,17,31,372.7049,11
"Families of China",1,16,17,40,951,3
"Families of Ghana",1,16,17,40,966.7,3
"Families of Israel",1,16,17,40,956.54,3
"Whats in the Bible 1 In the beginning",1,16,18,33,220.61,14
"Lots lots of playful penguins and their toe tappin feet",1,16,18,36,598.47,14
"Budding ballerinas pre ballet with Mary Carpenter",1,16,18,36,792.8,14
"Wiggles Big big show",1,17,10,13,782.42083,2
"Farm life",1,17,10,13,630,2
"Kidz bop Dance moves",1,17,10,13,793.3,2
"Wiggles Its always Christmas with you",1,17,10,13,782.42083,2
"emperors egg",1,17,10,17,598.47,9
"Signing time Volume 2 Playtime signs",1,17,10,27,419.7,9
"Discovering colors Descubriendo los colores",1,17,10,51,535.6,13
"Spanish Disc 6 I can count",1,17,11,48,468.3421,6
