title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"boy who drew cats",4,29,10,27,398.20952,16
"Visiting day",4,29,10,19,362.8295,16
"Sid the science kid Going going green",4,11,16,33,791.4575,34
"Mandarin Chinese 1 Eating and drinking",4,11,11,21,495.13421,35
"Mandarin Chinese 2 Wake up smiling",4,11,11,21,495.13421,35
"Lets talk geography maps and globes",4,14,15,23,912,31
"Hot potatoes the best of the Wiggles",4,24,11,33,782.42083,22
"Whats in the bible Vol 7 Exile and return Ezra Nehemiah Esther",4,18,13,0,221.9505,28
"Meet the phonics Blends",4,22,10,6,372.465,24
"Meet the sight words 2",4,22,10,6,372.462,24
"Vamos a jugar Lets play",4,22,17,1,468.3421,23
"Meet the phonics Digraphs",4,16,12,18,372.465,30
"Spanish Disc 5 Happy sad and silly",4,22,17,1,468.3421,23
"Spanish for kids Beginner level 1 volume 1",4,22,17,1,468.3421,23
"Rock n learn Spanish Volumes I II",4,22,17,1,468.3421,23
"Super soccer skills",4,29,15,25,796.3342,16
"Shalom sesame Volume 1 Welcome to Israel",4,28,14,12,956.94,17
"Hula for children learn basic hula steps 3 hula songs",4,15,11,13,793.31996,31
"I spy A mumble monster mystery other stories",4,30,13,36,793.735,16
"Activity TV Origami",4,5,17,44,736.982,40
"Farmyard friends",4,26,11,25,590,20
"Activity TV Room projects",4,5,17,43,747.1,40
"Kid guides Museums",4,18,11,18,507.4,28
"Early start Mandarin Chinese Volume 6 Happy birthday",4,18,11,18,495.18342,28
"Early start Mandarin Chinese Volume 4 My healthy body",4,18,11,17,495.18342,28
"Professor Parrot speaks Spanish We are friends Somos amigos",4,5,14,51,468.2421,40
"Meet the numbers",4,18,17,29,372.72,27
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",4,18,17,29,492.7071,27
"Rock n learn Telling time",4,18,17,29,681.113,27
"world of learning Volume 2",4,18,11,4,629.13334,28
"Schoolhouse rock Grammar",4,1,10,44,428,45
"More families of Mexico",4,18,11,4,972.0836,28
Fish,4,18,11,4,597,28
Mexico,4,29,14,45,305.86872,17
"Signing time Volume 4 Family feelings and fun",4,23,17,18,419.7,22
"Signing time Volume 3 Everyday signs",4,23,17,18,419.7,22
"Once upon a potty for her",4,15,16,2,649.62,31
"March on the day my brother Martin changed the world and more stories about African American history",4,9,12,56,973.0496,37
"So you want to be president and more stories to celebrate American history",4,9,12,56,352.23709,37
"All about soil",4,29,18,31,551.305,16
"Body mechanics superheroes of the human body",4,22,10,56,612,24
"Revolutionary War heroes",4,21,13,52,973.2,25
"Smell my world",4,20,13,14,612.86,27
"Getting to know Thomas Jefferson third president",4,13,11,52,973.46092,34
"George Washington first President",4,13,11,52,973.41092,34
"best of the best of the Electric Company",4,27,12,55,372.414,20
"Arctic tale",4,27,12,55,599.786,20
Wind,4,20,17,8,621.31,26
"French Disc 4 In my home",4,19,15,43,448.3421,28
"Spanish Disc 6 I can count",4,30,17,54,468.3421,16
"Spanish 2 Wake up smiling",4,30,17,54,468.3421,16
Japan,4,15,17,6,915.2,31
"Yellowstone for kids",4,5,17,44,917.8752,41
"John Henry steel driving man a story from the U S A",4,18,17,43,398.22,28
Redhill,4,18,17,43,398.20959,28
"Podna and Podni a story from Pakistan",4,18,17,42,398.20954,28
Cat,4,9,18,4,599.75,37
"French Disc 4 In my home",4,29,14,3,448.3421,18
"Creepy creatures",4,9,18,4,591,37
"French 3 Playtime",4,29,14,3,448.3421,18
"Penelopes Halloween handbook",4,9,18,4,745.59416,37
"Deep sea dive",4,9,11,19,551.46,39
"Just kickin it",4,6,10,42,796.3342,42
"Soccer games 40 great games to make your practices fun",4,6,10,42,796.3342,42
"Sportscamp Soccer",4,6,10,42,796.3342,42
"Rock n learn Getting ready for kindergarten",4,21,14,57,372.218,26
"Can you name twenty trucks",4,17,17,54,629.224,30
"Wiggles Celebration",4,20,17,41,782.42083,27
"Japanese Disc 1 Eating and drinking",4,17,14,2,495.68342,31
"Train crazy kids",4,11,10,24,625.2,37
"Miss Christys Dance adventure",4,7,16,8,793.3083,40
"Signing time Volume 8 The great outdoors",4,25,10,43,419.7,23
"Zoboomafoo Wild creatures furry fashion",4,22,17,4,590,25
"Signing time Volume 1 My first signs",4,23,17,18,419.7,24
"Meerkat manor Season one",4,20,12,32,599.742,28
"magic school bus Creepy crawly fun",4,21,14,29,534,27
"Wonders down under",4,5,16,10,591.994,43
"Mighty machines Tremendous tools",4,26,16,17,621.8,22
"best of Mighty machines flying racing rolling",4,19,12,54,629.225,29
"Mighty machines Roadways to runways",4,19,12,55,629.133,29
"Mighty machines Machines on the job",4,19,12,55,621.8,29
"Kid guides Zoos",4,6,11,15,590.7373,43
"Kid guides Aquariums",4,6,11,15,597.073,43
China,4,22,13,1,951,27
"Families of China",4,22,13,1,951,27
"Swan lake",4,13,14,27,792.842,35
"Everybody dance",4,14,15,19,793.3083,34
"Sleeping beauty",4,23,12,30,792.842,26
"Blast off a kids introduction to the space program",4,28,15,10,629.40973,21
"Activity TV Paper airplanes",4,8,19,33,745.592,40
"magic school bus Creepy crawly fun",4,23,14,29,534,26
"Schoolhouse rock America",4,20,15,39,973,29
"JammX kids Adventure one Cant dance dont want to",4,20,15,39,791.4572,29
Mammal,4,20,15,39,599,29
"magic school bus Super sports fun",4,24,15,21,530,25
"magic school bus Creepy crawly fun",4,22,11,57,534,27
"Families of France",4,12,12,39,944.084,37
"Signing time Series 2 volume 5 Going outside",4,1,15,21,419.7,48
"Free to be you and me",4,16,14,4,810.8,33
"Activity TV Juggling",4,5,10,7,793.87,45
"science of Disney imagineering Animal adaptations communication",4,10,13,59,591.59,40
"Puppytown Growing up",4,7,14,2,636.73,43
"Signing time Volume 1 My first signs",4,23,18,48,419.7,26
"American Sign Language for kids Beginner level 1 volume 1",4,23,18,47,419.7,26
"American Sign Language for kids Beginner level 1 volume 2",4,26,15,58,419.7,23
"Mandarin Chinese 1 Eating and drinking",4,29,16,38,495.13421,20
"Ready for science and geography",4,8,16,27,372.8,41
"Critter quest bug out on a backyard safari",4,29,11,34,595.7,21
"Critter quest bug out on a backyard safari",4,21,15,25,595.7,29
"Families of Israel",4,14,16,52,956.54,35
"Baby signing time Volume 1",4,22,11,40,419,28
"Schoolhouse rock Science",4,9,17,21,500,41
"Im a potty princess potty training for girls",4,25,17,39,649.62,25
"magic school bus Holiday special",4,15,18,34,333.72,34
"Pond river",4,24,16,30,577.636,26
"Dinosaur Georges guide to prehistoric life",4,29,18,39,567.9,20
"Kidz bop Dance moves",4,10,12,49,793.3,40
"Drawing power Vol 4 Safari animal drawing",4,25,14,14,743.6,25
"Signing time Volume 6 My favorite things",4,11,18,1,419.7,39
"Families of Sweden",4,20,17,33,948.5,30
"Grand Canyon for kids",4,20,17,33,917.9132,30
"Signing time Volume 8 The great outdoors",4,8,15,25,419.7,42
"Swan lake",4,2,15,52,792.842,48
"safe side Stranger safety hot tips to help keep cool kids safer with people they dont know and kinda know",4,22,15,43,613.6083,28
Cat,4,29,16,12,599.75,21
"John Deere action 3",4,9,12,4,629.2252,42
"Between the lions More animal stories 8 stories fun activities",4,12,15,29,372.465,38
"Mighty machines Machines on the job",4,9,12,4,621.8,42
"Baby signing time Volume 1",4,30,13,8,419,20
"Mandarin Chinese Disc 4 In my home",4,26,13,3,495.13421,25
"Mandarin Chinese Disc 5 Happy sad and silly",4,26,13,3,495.13421,25
"Mandarin Chinese 3 Playtime",4,26,13,3,495.13421,25
"Mandarin Chinese Disc 6 I can count",4,26,13,3,495.13421,25
"Animal atlas Fun on the farm",4,7,16,16,630.68,43
"Rock n learn Human body",4,14,16,29,612,36
"Fairy dancing",4,10,11,20,791.4372,41
"Baby dance",4,10,11,19,796.13,41
"John Deere earth mover action",4,7,16,16,629.225,43
"All about trains for kids",4,14,16,29,625.1,36
"Rainforest Jungle",4,24,14,59,577.34,26
Shark,4,24,14,59,597.34,26
"More families of Mexico",4,27,14,2,972.0836,24
"Families of Mexico",4,27,14,2,972.0836,24
"Lots lots of trains Vol 2 Thunder on the tracks",4,27,11,32,625.2,24
"Activity TV Christmas Vol 2",4,17,15,58,745.59412,33
"Activity TV Halloween Vol 2",4,17,15,58,745.59416,33
"frog prince",4,29,16,32,398.2,21
"Alphabet phonics fun",4,26,13,20,411,25
"Signing time Volume 5 ABC signs",4,26,13,20,419.7,25
"Time for manners Vol 1",4,26,13,20,395.5,25
"Wild about safety Safety smart about fire",4,27,17,30,363.377,23
"Adventures with dance",4,25,15,50,792.8,26
"Rock n learn Phonics Volumes I II",4,26,13,20,372.465,25
"School house rock Money rock",4,23,16,28,332.024,28
"Kids love Spanish Volume 3 Family",4,10,15,17,468.3421,41
"Sid the science kid Gizmos and gadgets",4,18,11,13,621.8,33
"Mister Rogers neighborhood What do you do with the mad that you feel",4,18,11,14,152.47,33
"Classical baby The dance show",4,29,11,1,793.3083,23
"Families of Thailand",4,20,17,18,959.3,31
"Spanish Disc 6 I can count",4,16,17,40,468.3421,35
"mouse bride a Chinese folktale Lao shu qu xin niang",4,18,14,23,398.20951,34
"Kung fu for kids",4,16,17,40,796.8159,35
"You can heal your life the movie",4,25,16,29,158,26
"Lon Po Po a Red Riding Hood story from China",4,18,14,23,398.20951,34
"Preschool fun Planets dinosaurs",4,16,17,40,523.4,35
"Road construction ahead 2",4,16,17,40,625.725,35
"way things work Engines",4,12,15,12,621.43,40
"way things work Musical instruments",4,12,15,12,784.19,40
"Baby dance",4,7,13,52,796.13,45
"Free to be you and me",4,22,19,55,810.8,29
"riddle in a bottle",4,20,15,45,553.7,32
"Learn ballet step by step",4,24,16,51,792.82,28
Fire,4,15,17,44,353.979,37
Caves,4,2,12,27,551.447,50
"Marine mammals",4,15,17,44,591.77,37
"Rivers streams",4,15,17,44,551.483,37
"Signing time Volume 8 The great outdoors",4,27,10,7,419.7,25
"Signing time Volume 7 Leahs farm",4,27,10,7,419.7,25
"Germs your health",4,25,11,36,616.9041,27
"iKnow animals letters sounds Vol 2",4,25,10,41,372.465,27
"Ready for phonics Level 1",4,25,10,41,372.465,27
"Rock n learn Phonics Volumes I II",4,25,10,41,372.465,27
"Mighty machines Tremendous tools",4,2,17,44,621.8,50
Spacetrekkers,4,28,14,11,520,24
Seashore,4,28,14,11,578.7699,24
"Signing time Practice time ABCs Level 1",4,14,15,39,419.7,38
"Signing time Practice time 123s Level 1",4,14,15,39,419.7,38
"Barack Obama the story of our 44th president",4,16,11,48,973.93209,37
"Rock n learn Letter sounds",4,29,13,40,372.465,24
"Rock n learn Alphabet",4,29,13,40,372.41,24
"Alphabet phonics fun",4,29,13,40,411,24
"French Disc 4 In my home",4,17,11,12,448.3421,36
"Spanish Disc 4 In my home",4,10,11,31,468.3421,43
"French Disc 5 Happy sad and silly",4,17,11,12,448.3421,36
"Spanish 1 Eating and drinking",4,10,11,31,468.3421,43
"tree with the golden apples",4,9,19,33,398.20949,43
"shepherdess and the chimney sweep",4,9,19,32,398.20948,43
"Shepherd Boy Tumur",4,9,19,31,398.20951,43
"Aunt Tiger",4,9,19,31,398.20951,43
"Ewenn Congar",4,9,19,32,398.20944,43
"magic gourd",4,9,19,31,398.20951,43
"Kid guides Aquariums",4,26,17,2,597.073,26
"Kid guides Kids sea camp Curacao",4,26,17,2,639.342,26
"Kids love Spanish Volume 7 Basic phrases",4,28,16,33,468.3421,25
"Tengo hambre I am hungry",4,28,16,33,468.34,25
"Rock n learn Letter sounds",4,25,17,18,372.465,28
"Beyond phonics Level 2",4,25,17,18,372.4,28
"scoop on poop",4,15,15,35,612.36,38
"School house rock Election collection",4,29,12,39,320.973,24
"Schoolhouse rock Multiplication rock",4,29,12,38,513.213,24
"Schoolhouse rock Grammar",4,29,12,39,428,24
YogaKids,4,29,12,52,613.7042,24
"Schoolhouse rock",4,29,12,38,372,25
"Cartooning tips and tricks",4,24,17,52,741.5,29
"Sid the science kid Sids sense ational adventures",4,26,12,31,500,28
"Sid the science kid Going going green",4,26,12,30,791.4575,28
"Sid the science kid Feeling good inside and out",4,26,12,30,613.0432,28
"Signing time Volume 8 The great outdoors",4,30,19,45,419.7,23
"Learn magic with Lyn",4,25,12,31,793.8,29
"key to card magic",4,25,12,32,793.85,29
"Signing time Volume 6 My favorite things",4,19,15,2,419.7,35
"Signing time Series 2 volume 7 My favorite sport",4,19,15,2,419.7,35
"Signing time Series 2 volume 10 Helping out around the house",4,15,17,15,419.7,38
"Polar prowl",4,9,17,30,591.70911,44
"Signing time Series 2 volume 11 Once upon a time",4,29,17,4,419.7,24
"Spanish Disc 6 I can count",4,16,19,28,468.3421,37
"Spanish Disc 4 In my home",4,16,19,28,468.3421,37
"Renewable energy",4,24,19,51,621.042,29
"basic math word problem tutor 8 hour video course",4,24,19,51,519.076,29
"city of bees",4,24,19,51,638.1,29
"Signing time Series 2 volume 9 My things",4,27,17,35,419.7,26
"Meet the shapes",4,18,12,51,516.15,36
"My fantastic field trip to the planets",4,18,12,51,523.4,36
"Amahl and the night visitors",4,27,17,17,792.542,27
"Rock n learn Physical science",4,14,16,37,500.2,40
"Signing time Series 2 volume 10 Helping out around the house",4,27,14,42,419.7,27
"Signing time Volume 2 Playtime signs",4,27,14,42,419.7,27
"Signing time Series 2 volume 12 Box of crayons",4,27,14,42,419.7,27
"Meet the sight words 1",4,30,18,19,372.462,24
"Meet the sight words 2",4,30,18,19,372.462,24
"Taking tests in different subjects",4,14,14,44,371.26,40
"Kids who rip com Vol 2",4,13,16,56,796.046,41
Dinosaurs,4,27,16,19,567.9,27
"Meet the sight words 3",4,30,18,19,372.462,24
Division,4,14,14,45,513.214,40
"Its potty time",4,19,13,26,649.62,36
"Sid the science kid Gizmos and gadgets",4,13,14,2,621.8,42
"Im a potty pirate potty training for boys",4,19,13,26,649.62,36
"I spy A runaway robot and other stories",4,19,13,26,793.735,36
Bali,4,9,11,11,915.986,46
"French Disc 6 I can count",4,15,18,2,448.3421,39
"Italian Disc 3 Playtime",4,15,18,2,458.3421,39
"French 1 Eating and drinking",4,15,18,2,448.3421,39
"Spanish Disc 4 In my home",4,29,17,49,468.3421,25
"National park animals for kids",4,29,11,7,590.0973,26
"Spanish Disc 6 I can count",4,18,15,8,468.3421,37
"Kids love Spanish Volume 2 Alphabet numbers",4,18,15,8,468.3421,37
"Spanish Disc 5 Happy sad and silly",4,18,15,8,468.3421,37
"Kids love Spanish Volume 1 Basic words",4,18,15,8,468.3421,37
"Polar prowl",4,28,16,36,591.70911,27
"Sing hoot howl with the Sesame Street animals",4,24,17,22,782.42083,31
"Backyard soccer drills",4,2,16,44,796.3342,53
"Washington DC for kids",4,28,14,42,917.53,28
"Signing time Volume 7 Leahs farm",4,29,12,13,419.7,27
"George Washington",4,20,14,15,973.41092,37
"Baby ballet",4,30,12,14,792.8,28
"Meet the sight words 3",4,30,12,14,372.462,28
"Im a ballerina now",4,30,12,14,792.8,28
"Rock n learn Letter sounds",4,30,12,15,372.465,28
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",5,1,11,53,438.3421,0
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",5,1,11,53,438.3421,0
"French Disc 6 I can count",5,1,14,49,448.3421,1
"Activity TV Cooking snacks",5,2,18,56,641.5123,0
"Baby songs Rock roll",5,2,13,17,782.42083,1
Amphibian,5,1,13,54,597.8,2
"Leonardo da Vinci",5,3,10,33,709.2,1
Michelangelo,5,3,10,32,759.5,1
"Advanced math concepts",5,1,18,18,513,2
"Hot potatoes the best of the Wiggles",5,4,16,59,782.42083,0
"Jim Knoxs Wild Zoofari National Aquarium in Baltimore",5,4,12,58,597,2
"Jim Knoxs Wild Zoofari Oregon",5,4,12,58,590.73795,2
"Farmyard friends",5,4,12,58,590,2
Matter,5,1,14,44,530,5
"Activity TV Cooking snacks",5,5,16,15,641.5123,0
"Sid the science kid Sid in motion",5,4,16,54,500,1
"Meerkat manor Season one",5,1,16,20,599.742,5
"Activity TV Jewelry",5,3,10,57,745.5942,3
"Fizzys lunch lab Fresh foods 101",5,5,16,27,613.2,1
"Sid the science kid Sids backyard campout",5,5,16,27,796.54,1
"Wiggles You make me feel like dancing",5,3,10,19,201,4
Atmosphere,5,1,15,27,551.5,6
"Wiggles The Wiggles go bananas",5,2,10,16,782.42083,5
"All about John Deere Big forestry and construction machines only",5,6,12,10,629.225,1
"Giving thanks and more stories to celebrate American heritage",5,6,16,8,973,1
"Wild about safety Safety smart about fire",5,3,17,45,363.377,3
"Wild about safety Safety smart goes green",5,3,17,45,363.7,3
"Train crazy kids",5,1,11,31,625.2,6
"Rocks and minerals",5,3,11,29,552,5
"Revolutionary War heroes",5,5,16,2,973.2,2
"magic school bus Human body",5,7,13,32,612,1
"world of learning Volume 2",5,7,13,32,629.13334,1
"All about the senses",5,1,14,24,612.8,7
"world of learning Volume 2",5,6,12,10,629.13334,2
"German for babies toddlers and preschoolers Disc 6 I can count",5,6,17,36,438.3421,1
"Activity TV Cooking snacks",5,7,19,44,641.5123,0
"Baby signing time Volume 1",5,3,10,53,419,5
"All your childs favorites",5,1,14,44,649.68,7
"School house rock Money rock",5,2,10,52,332.024,7
"Meet the phonics Letter sounds",5,1,13,1,372.465,7
"Shalom Sesame Volume 9 Countdown to Shavuot",5,2,10,54,394.267,7
"myth of Persephone",5,2,12,46,398.20938,7
"Animal atlas Animal passport",5,5,14,20,590.96,3
"This fragile planet preserving nature and balancing the environment",5,7,14,9,304.2083,2
"Teaching signs for baby minds 2 Concepts combinations",5,2,13,16,419.7,7
"BabyFirst tales classic stories retold for babies Vol 1",5,6,18,10,398.2,2
"Teaching signs for baby minds 1 Everyday signs",5,2,13,16,419.7,7
"Sid the science kid Sid in motion",5,6,18,10,500,2
"Alphabet and letter sounds",5,4,10,14,372.465,5
"Rock n learn Letter sounds",5,4,10,14,372.465,5
"Rock n Learn Alphabet",5,4,10,14,372.41,5
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",5,3,17,17,491.78346,5
"Mighty machines Ships ahoy Super machines Ohâ du bateau",5,5,15,59,623.82,4
"Im a potty pirate potty training for boys",5,5,15,59,649.62,4
"John Henry",5,5,15,38,398.22,4
"Wiggles Ukulele baby",5,6,17,12,791.42083,3
"Rocks soil",5,4,12,23,552,5
"Sid the science kid Sids sense ational adventures",5,5,15,59,500,4
"best of Mighty machines flying racing rolling",5,3,13,36,629.225,6
"Lots lots of jets and planes Vol 1 Thunder in the skies",5,3,13,36,629.13334,6
"Snowplows on patrol",5,3,13,36,625.763,6
"Fire engines trucks airplanes fast trains",5,3,13,36,628.9259,6
"last days of the Civil War",5,6,18,53,973.738,3
"Im a potty pirate potty training for boys",5,1,11,58,649.62,8
"Lots lots of trucks Vol 2 Mighty tough trucks",5,1,14,4,629.224,8
"Mighty machines Ships ahoy Super machines Ohâ du bateau",5,1,14,4,623.82,8
"Families of Kenya",5,4,17,35,967.62,5
"Families of Sweden",5,4,17,35,948.5,5
"Arctic Antarctic",5,4,17,35,508.98,5
"Rock n learn Multiplication rap",5,7,19,49,513.213,2
"Zin zin zin a violin",5,4,17,33,780,5
"Abraham Lincoln sixteenth president",5,4,17,33,973.7092,5
"Math cure",5,4,17,46,510,5
"Kidz bop Dance moves",5,4,17,43,793.3,5
"Sid the science kid Change happens",5,4,17,43,507,5
Migration,5,3,17,46,591.568,6
"Meet the sight words 2",5,8,11,28,372.462,2
"Meet the sight words 3",5,4,12,20,372.462,7
"Meet the colors",5,4,12,19,535.6,7
"Meet the shapes",5,4,12,19,516.15,7
"Daisy and her garden",5,2,15,54,791.4572,8
"Early start Mandarin Chinese Volume 3 A wonderful day",5,8,15,54,495.18342,2
"Zoboomafoo Wild creatures furry fashion",5,5,15,51,590,5
"Activity TV Cooking snacks",5,10,17,38,641.5123,0
"mystery of shooting stars",5,6,17,28,523.51,4
"Hula for children learn basic hula steps 3 hula songs",5,10,12,32,793.31996,1
"Be a hula girl",5,10,12,32,793.31,1
"Critter quest bug out on a backyard safari",5,5,16,18,595.7,6
"Aunt Tiger",5,7,18,36,398.20951,4
"little primaballerina ballet training for children",5,4,12,7,792.8,8
"Mighty machines Big wheels rollin",5,9,15,2,629.225,2
"Mighty machines Mega machines",5,9,15,2,629.225,2
"Schoolhouse rock Multiplication rock",5,7,10,35,513.213,5
"Edgar Degas",5,5,13,45,759.4,7
"Brainy baby Art exploring the world of art",5,4,11,41,700.83,8
"Mighty machines Machines on the job",5,4,11,41,621.8,8
"Fun on the farm 2",5,4,11,41,630,8
"Mighty machines Roadways to runways",5,4,11,43,629.133,8
"Peep and the big wide world Peep finds",5,1,16,37,372.35,10
"tree with the golden apples",5,7,15,49,398.20949,5
"Sheng jing gu shi dong hua ji III chuang shi ji yu Nuoya fang zhou The Bible in animation creation and the flood",5,4,10,54,220.95,8
"Families of China",5,4,16,37,951,7
"Swinging safari",5,6,13,41,591.96,6
"Deep sea dive",5,6,13,40,551.46,6
"magic school bus Space adventures",5,2,12,34,523,10
"ballerina me",5,9,14,36,792.8,3
"magic school bus Creepy crawly fun",5,6,17,12,534,6
"Cinco de Mayo",5,7,18,8,394.262,5
"Meet the phonics Letter sounds",5,2,11,42,372.465,11
"Families of Panama",5,1,10,14,972.87,12
"Bugs bugs bugs",5,1,15,44,595.7,11
"science of Disney imagineering Animal adaptations communication",5,7,15,45,591.59,5
Erosion,5,4,12,3,551.3,9
"science of Disney imagineering Fluids",5,4,12,3,532,9
"science of Disney imagineering Levers and pulleys",5,7,15,45,621.8,5
"Sid the science kid The ruler of thumb",5,3,12,29,530.8,10
"Sid the science kid Weather kid Sid",5,8,14,13,551.5,5
"science of Disney imagineering Designs and models",5,8,14,13,620.004,5
"Baby signing time Volume 1",5,6,15,27,419,7
"Signing time Volume 1 My first signs",5,6,15,28,419.7,7
"Activity TV Jewelry",5,11,16,58,745.5942,1
"Communities around the world around the corner",5,9,15,30,307,4
"Signing time Volume 2 Playtime signs",5,9,15,30,419.7,4
"My fantastic field trip to the planets",5,8,17,17,523.4,4
"Lots lots of jets and planes Vol 1 Thunder in the skies",5,4,12,19,629.13334,9
"French for kids Beginner level 1 volume 2",5,7,13,27,448.2421,6
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",5,7,13,27,448.2421,6
"Germs your health",5,5,14,54,616.9041,8
"Activity TV Cooking lunches desserts",5,11,17,19,641.5123,2
"Activity TV Cooking snacks",5,11,17,19,641.5123,2
Horse,5,1,17,7,636.1,12
"Rockin dance party",5,1,17,7,649.68,12
"Animal atlas Family time",5,1,15,44,590,12
"Families of Korea",5,3,11,21,951.9043,10
"Lots lots of big trains Vol 1 Giant railroad action",5,2,11,28,625.2,12
"Lots lots of fire songs safety tips",5,6,11,28,363.377,8
"Wiggles The Wiggles go bananas",5,3,16,38,782.42083,10
"Lots lots of trucks Vol 2 Mighty tough trucks",5,2,11,28,629.224,12
Electricity,5,9,11,50,537,5
"Fun with dance",5,4,15,58,796.13,9
"How did that get in my lunchbox the story of food",5,4,15,58,641.3,9
"Rockin dance party",5,4,15,58,649.68,9
"Baby boost Nursery rhymes",5,10,16,42,782.42083,3
"Baby boost Sing a long",5,10,16,42,782.42083,3
"science of Disney imagineering Fluids",5,3,15,54,532,10
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",5,3,15,53,438.3421,10
Fractions,5,7,13,16,513.26,7
"way things work Light",5,7,11,28,535,7
"Wiggles The Wiggles go bananas",5,11,11,57,782.42083,3
"animated Passion for the whole family",5,2,11,6,232.96,12
"Easter story",5,2,11,6,232.96,12
"Japanese Disc 2 Wake up smiling",5,4,12,6,495.68342,10
"Im a potty princess potty training for girls",5,1,14,44,649.62,13
"Wiggles Celebration",5,13,15,50,782.42083,1
"Families of Russia",5,1,17,44,947.086,12
"Russian for babies toddlers and preschoolers Disc 2 Wake up smiling",5,12,12,59,491.78346,2
"Sid the science kid Weather kid Sid",5,3,17,56,551.5,10
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",5,12,12,59,491.78346,2
"Russian for babies toddlers and preschoolers Disc 3 Playtime",5,12,12,59,491.78346,2
"Sid the science kid Sids sense ational adventures",5,3,17,56,500,10
Mexico,5,10,15,59,305.86872,4
"Rock mineral",5,2,14,53,552.06,12
"Meet the sight words 2",5,5,16,54,372.462,9
"Meet the sight words 3",5,5,16,54,372.462,9
Biodiversity,5,5,14,46,574.5,9
"All about blood the heart",5,7,16,44,612.1,7
"Rock n learn Earth science",5,5,14,47,550,9
"Eyewitness Planets",5,7,18,22,523.4,7
"Spanish Disc 4 In my home",5,1,19,3,468.3421,13
"Spanish 2 Wake up smiling",5,1,19,3,468.3421,13
Horse,5,3,12,15,636.1,11
Bird,5,6,18,46,598,8
Amphibian,5,6,18,46,597.8,8
Fish,5,6,18,46,597,8
"Space earth atmosphere",5,6,18,46,523,8
"Everybody dance",5,1,11,7,793.3083,13
"Kidz bop Dance moves",5,1,11,7,793.3,13
"Shakespeare the animated tales Volume 3",5,4,11,59,822.33,10
"Fizzys lunch lab Fresh foods 101",5,3,11,29,613.2,12
"Mister Rogers neighborhood What do you do with the mad that you feel",5,3,11,11,152.47,12
"Signing time Series 2 volume 13 Who has the frog",5,2,11,25,419.7,13
"Vamos a jugar Lets play",5,2,13,41,468.3421,12
"Spanish Disc 4 In my home",5,2,13,41,468.3421,12
"Amazing North America",5,2,13,40,591.97,12
"Nature for kids Beginning Spanish the fun and easy way to learn Spanish",5,2,13,41,468.24,12
"Sid the science kid Weather kid Sid",5,2,13,7,551.5,12
"Lots lots of trucks Vol 1 Hard workin trucks",5,2,13,7,629.224,12
"Dinosaur bones",5,4,14,18,567.9,10
"way things work Wheels axles",5,10,12,16,621.82,5
"Ecosystems and biomes",5,10,12,17,577.82,5
Germany,5,8,14,1,914.304,7
"Lyric language German",5,8,14,1,438.3421,7
"world of learning Volume 2",5,14,16,27,629.13334,0
"Mighty machines Big wheels rollin",5,14,16,27,629.225,0
"Activity TV Hanukkah Vol 1",5,5,16,45,296.435,9
"Mighty machines Mega machines",5,14,16,27,629.225,0
"Lets draw peoples bodies",5,5,16,45,743.4,9
"Lets frame our pictures",5,5,16,44,749.7,9
"Signing time Volume 4 Family feelings and fun",5,5,16,45,419.7,9
"Collage art for kids Volume 1 Paper collage",5,5,16,45,702.812,9
"Lets learn how to use pastels and charcoal",5,5,16,44,741.235,9
"Signing time Volume 12 Time to eat",5,5,16,45,419.7,9
YogaKids,5,5,16,45,613.7042,9
"estaciones The seasons",5,5,16,44,468.3421,9
"Collage art for kids Volume 4 Greeting cards",5,5,16,45,702.812,9
"Learn hip hop step by step",5,5,16,45,782.42164,9
Bird,5,1,15,52,598,14
Fish,5,1,15,52,597,14
"Lots lots of trucks Vol 1 Hard workin trucks",5,1,17,2,629.224,13
"magic school bus Space adventures",5,9,18,27,523,5
"Merlin and the dragons a story from Wales",5,3,16,5,398.20942,12
"Jazz class for kids",5,1,18,21,793.3,14
"Dance dance dance",5,1,18,20,792.8,14
"Jazz dances for kids teens",5,1,18,20,793.3,14
"Mandarin Chinese 2 Wake up smiling",5,3,11,39,495.13421,12
"Early start Mandarin Chinese Volume 1 Colors and animals",5,3,11,39,495.18342,12
"Chinese for kids Beginner level 1 volume 1",5,3,11,39,495.18342,12
"Elmos potty time",5,1,15,55,649.62083,14
"First fun with Spanish",5,9,11,54,468.3421,6
"Schoolhouse rock",5,2,12,3,372,13
"Watch learn Spanish with Professor Toto Part I Eric goes to school",5,6,13,5,468.3421,9
"Storyland yoga",5,7,16,32,613.7046,8
Seashore,5,7,16,32,578.7699,8
"Taking care of my pet",5,7,16,32,636.0887,8
"East of the sun west of the moon",5,1,11,17,398.2,15
"Kidz bop Dance moves",5,1,18,45,793.3,14
"School house rock Earth",5,15,10,16,333.72,1
