title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",1,6,14,24,492.7071,6
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",1,6,14,24,492.7071,6
"Mighty machines Lights ladders",1,7,17,7,629.224,4
"Sid the science kid Sid in motion",1,7,19,30,500,4
"Globe toddlers Adventures in Mexico",1,12,11,26,468.2421,0
"Humanoid robots",1,7,17,7,629.892,4
"Lets talk geography maps and globes",1,5,14,29,912,7
"Wild about safety Safety smart about fire",1,10,18,39,363.377,1
"Space exploration",1,5,15,50,629.4,7
"Sid the science kid Going going green",1,11,17,42,791.4575,0
"Activity TV Cooking snacks",1,11,17,42,641.5123,0
"Families of Afghanistan",1,8,18,44,958.1,3
"Party day",1,2,17,0,782.42083,9
"Wiggles Top of the tots",1,7,14,30,782.42083,5
"Wiggles Sing a song of Wiggles",1,7,14,31,782.42083,5
"Go potty go potty training for tiny toddlers",1,9,17,8,649.62,2
"Im a potty pirate potty training for boys",1,9,17,9,649.62,2
"Families of Korea",1,10,13,23,951.9043,2
"Predator and prey",1,2,15,58,591.53,10
"animated Passion for the whole family",1,4,16,48,232.96,8
"Mister Rogers neighborhood What do you do with the mad that you feel",1,9,14,57,152.47,3
"You can heal your life the movie",1,10,18,50,158,2
"Kidz bop Dance moves",1,5,13,29,793.3,8
"Just kickin it",1,3,10,51,796.3342,10
Cat,1,3,16,49,599.75,9
"Families of Korea",1,9,14,44,951.9043,4
"Smell my world",1,3,12,43,612.86,10
"Danger Rangers Mission 547 safety rules",1,9,19,13,613.6,3
"Puppytown Growing up",1,9,19,13,636.73,3
"Between the lions The popcorn popper",1,6,14,15,372.465,7
"Animal atlas Animal passport",1,7,12,48,590.96,6
"Signing time Series 2 volume 12 Box of crayons",1,5,17,25,419.7,7
"Letters reading",1,5,17,25,372.4,7
"Words reading",1,5,17,25,372.4,7
"Happy to be nappy and other stories of me",1,8,19,17,305.908,4
"Addition subtraction",1,9,17,25,513.21,4
"Animal atlas Animal passport",1,11,10,22,590.96,2
"Wiggles Lets eat",1,11,10,23,782.42083,2
"Animal atlas Superhero animals",1,11,10,23,590,2
"Here come the ABCs",1,9,12,11,782.42083,4
"Wiggles Racing to the rainbow",1,3,11,19,782.42083,10
"Ready for science and geography",1,2,15,54,372.8,11
